structure,Htr1b,Htr1d,Htr2a,Htr3a,Htr7,Adra1a,Adra1b,Drd1,Drd2,Drd3,Drd5
LC,0.6394619036687095,0.21882338828162076,0.48303592421927266,0.06127691363455,0.4652715134228623,0.2714411985599233,0.6223291620873445,0.28038604367113945,0.7247216035261341,0.26475146426789786,0.5336566811310999
SLC,0.4478859796629223,0.1694966028986412,0.3111074318808005,0.10644432426975346,0.3701514718582673,0.16857298995648132,0.3004677460781799,0.07050960448531267,0.20509917260077276,0.1825059803618096,0.13252187644227595
B,1.149771005480252,0.12651101110676405,0.32756016842085145,0.023890324104078115,0.5434835382821516,0.5704220554819446,0.5778729674744673,0.22503554180318228,1.0094174605175554,0.12158389571787595,0.32055452176680765
PB,0.5486985713353764,0.1399705219141305,0.4289970798211262,0.09420526400228642,0.4364332393669923,0.2718595634671915,0.5348327333973986,0.20934695415948365,0.549120267455203,0.1440467858663647,0.41366024020200687
LDT,0.6223541910582814,0.11573170052814141,0.6756243574186624,0.10333651565160527,0.4703779507535036,0.42492019267869907,0.5150017172642845,0.1346798678313677,0.7090991179406977,0.1342969736918169,0.22468049434757106
DTN,0.7588146790765682,0.04956695493348966,0.8955073257956836,0.19817622035462681,0.39467009252394797,0.1298544992630773,0.2971563225065836,0.09958195002435323,0.5832906165708591,0.553278545027133,0.17889368712325765
NI,0.5522774634632927,0.04643284152487317,0.5382414188336051,0.11371882254006835,0.5567482337779716,0.32983060413524584,0.49426164063115885,0.1224944763811569,0.38470328583393615,0.2221869651203221,0.22866521854385788
PDTg,0.3794755915757491,0.04196716869403709,0.6715719571614673,0.03982483062262399,0.6744580638380525,0.30446488063600863,0.4098805429072389,0.09088507837952398,0.35948108227610615,0.15504073738044544,0.1425113336044479
SLD,0.5708350262923493,0.13774879043894697,0.4365791532000333,0.08341320234614416,0.7225171772902809,0.23007984156048805,0.45497327963052514,0.1148687458481909,0.3641224801872034,0.20554035285078595,0.20154443704121192
