,"TH (n=28,555)","CLA (n=7,668)","LHb (n=1,043)"
Htr1b,0.27406758886359656,0.505868544600939,0.3537871524448706
Htr1d,0.13587812992470671,0.1529733959311424,0.11984659635666348
Htr2a,0.13902994221677464,0.8843244653103808,0.538830297219559
Htr3a,0.0605848362808615,0.21531038080333856,0.09683604985618409
Htr7,0.5153563298896866,0.15375586854460094,0.41418983700862894
Adra1a,0.09322360357205393,0.24869587897756912,0.236816874400767
Adra1b,0.716897215899142,0.5305164319248826,0.22627037392138064
Drd1,0.17247417264927334,0.8617631716223265,0.20325982742090123
Drd2,0.32369112239537734,0.37284820031298904,0.29242569511025884
Drd3,0.2227280686394677,0.13719353155972874,0.08916586768935762
Drd5,0.2902468919628787,0.28677621283255084,0.2569511025886865
